Distrito,Tipo_Crime,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guarda,Outros Violencia Domestica,25,28,31,27,35,31,33,39,31,30,37,54
Leiria,Outros Violencia Domestica,132,126,164,147,178,151,161,128,118,133,145,210
Lisboa,Outros Violencia Domestica,648,926,1 309,1 483,978,940,789,819,835,954,853,924
Portalegre,Outros Violencia Domestica,25,33,42,27,31,32,19,26,34,25,39,26
Porto,Outros Violencia Domestica,868,874,852,817,584,649,729,596,590,583,556,699
Santarem,Outros Violencia Domestica,78,105,153,157,148,140,121,136,129,97,108,123
Setubal,Outros Violencia Domestica,176,266,302,306,332,303,294,311,338,323,373,447
Viana do Castelo,Outros Violencia Domestica,86,71,103,82,78,84,58,49,58,40,52,69
Vila Real,Outros Violencia Domestica,35,61,81,96,108,118,112,99,106,86,83,63
Viseu,Outros Violencia Domestica,50,67,70,71,63,67,75,93,85,84,93,118
Ilha Terceira,Outros Violencia Domestica,9,13,32,18,21,16,26,12,17,18,17,24
Ilha do Faial,Outros Violencia Domestica,12,25,3,3,16,13,13,10,17,8,13,16
Ilha das Flores,Outros Violencia Domestica,4,,,,,,,3,5,3,,7
Ilha do Pico,Outros Violencia Domestica,3,,,8,11,3,9,3,8,7,7,9
Ilha de Santa Maria,Outros Violencia Domestica,,,,5,5,,3,3,8,,4,
Ilha de Sao Miguel,Outros Violencia Domestica,80,87,155,169,172,142,128,100,96,79,49,67
Ilha da Madeira,Outros Violencia Domestica,56,85,179,220,206,193,186,181,228,211,127,121
Ilha de Porto Santo,Outros Violencia Domestica,,,3,,,3,5,,6,,6,3
Ilha da Graciosa,Outros Violencia Domestica,,,3,5,3,,,,3,7,3,4
Ilha de Sao Jorge,Outros Violencia Domestica,,5,14,7,8,13,10,10,8,8,7,5
N.E.,Outros Violencia Domestica,,,,,,,,,,,,
