Year,Municipality,GER
2009,Arronches,40.5
2009,Avis,189.3
2009,Campo Maior,203.1
2009,Castelo de Vide,37.3
2009,Crato,67.4
2009,Elvas,182.0
2009,Fronteira,161.5
2009,Gavião,
2009,Marvão,62.5
2009,Monforte,
2009,Nisa,279.4
2009,Ponte de Sor,153.6
2009,Portalegre,371.6
2009,Sousel,80.6
2009,Aljustrel,358.0
2009,Almodôvar,178.5
2009,Alvito,281.6
2009,Barrancos,
2009,Beja,276.2
2009,Castro Verde,131.1
2009,Cuba,176.5
2009,Ferreira do Alentejo,113.6
2009,Mértola,322.2
2009,Moura,190.5
2009,Ourique,95.5
2009,Serpa,151.9
2009,Vidigueira,89.8
2009,Azambuja,79.6
2009,Almeirim,153.3
2009,Alpiarça,57.1
2009,Benavente,79.1
2009,Cartaxo,87.0
2009,Chamusca,71.2
2009,Coruche,134.7
2009,Golegã,37.1
2009,Rio Maior,122.2
2009,Salvaterra de Magos,223.7
2009,Santarém,248.0
2009,Albufeira,136.2
2009,Alcoutim,223.5
2009,Aljezur,
2009,Castro Marim,
2009,Faro,263.6
2009,Lagoa,51.1
2009,Lagos,203.5
2009,Loulé,151.4
2009,Monchique,
2009,Olhão,93.9
2009,Portimão,243.1
2009,São Brás de Alportel,263.5
2009,Silves,114.2
2009,Tavira,153.8
2009,Vila do Bispo,
2009,Vila Real de Santo António,218.3
2010,Arcos de Valdevez,198.4
2010,Caminha,261.8
2010,Melgaço,206.8
2010,Monção,215.9
2010,Paredes de Coura,165.0
2010,Ponte da Barca,105.0
2010,Ponte de Lima,117.4
2010,Valença,113.3
2010,Viana do Castelo,186.2
2010,Vila Nova de Cerveira,290.2
2010,Boticas,
2010,Chaves,205.2
2010,Montalegre,98.5
2010,Ribeira de Pena,177.9
2010,Valpaços,97.9
2010,Vila Pouca de Aguiar,109.4
2010,Arouca,116.5
2010,Espinho,256.8
2010,Santa Maria da Feira,121.9
2010,Oliveira de Azeméis,113.8
2010,São João da Madeira,352.7
2010,Vale de Cambra,110.0
2010,Gondomar,109.9
2010,Maia,87.4
2010,Matosinhos,125.8
2010,Paredes,97.7
2010,Porto,414.7
2010,Póvoa de Varzim,122.3
2010,Santo Tirso,151.2
2010,Valongo,126.4
2010,Vila do Conde,97.3
2010,Vila Nova de Gaia,125.4
2010,Trofa,124.6
2010,Mondim de Basto,114.6
2010,Cabeceiras de Basto,115.2
2010,Fafe,108.6
2010,Guimarães,102.9
2010,Póvoa de Lanhoso,128.1
2010,Vieira do Minho,106.4
2010,Vila Nova de Famalicão,164.3
2010,Vizela,132.5
2010,Amares,121.4
2010,Barcelos,117.0
2010,Braga,193.4
2010,Esposende,123.5
2010,Terras de Bouro,100.8
2010,Vila Verde,138.6
2010,Alijó,89.1
2010,Mesão Frio,157.1
2010,Murça,148.1
2010,Peso da Régua,212.2
2010,Sabrosa,344.2
