Municipality,Year,DVASA,Fertility,Population,Population100,Men65,Monthly_Gain,Wage_Gap,Middle_Aged_Women,Unemployment_Total,Unemployment_Male,Unemployment_Female,Marriages,Elderly_Dependency,Youth_Dependency,Female_Doctors,Total_Doctors,Mental_Health,SS_Pensions,GER,GER_Men,GER_Women,Divorces
Vale de Cambra,2019,0.16411122051859145,1.17,21327,213.27,10.943873962582641,1107.9,75.62668408589859,20.1716134477423,1.806630093308951,0.6803582313499319,1.126271861959019,0.44075584939278845,39.7,16.7,62.82051282051282,0.3657335771557181,1.2820512820512822,0.7,99.0,97.8,100.3,40.4
Aljustrel,2019,0.15763307869528315,2.13,8247,82.47,11.57996847338426,1152.0,72.02292173640002,16.91524190614769,3.0641445374075422,1.3677700982175336,1.6963744391900086,0.3152661573905663,46.1,20.0,36.36363636363637,0.13338183581908572,0.0,0.9,169.3,153.5,188.8,46.2
Almodôvar,2019,0.13382899628252787,1.41,6725,67.25,12.847583643122677,877.4,84.76121413032219,18.052044609665426,2.5888475836431226,0.8148698884758364,1.773977695167286,0.14869888475836432,49.3,19.8,35.714285714285715,0.20817843866171004,0.0,0.9,145.3,180.6,107.0,100.0
Alvito,2019,0.16148566814695195,0.83,2477,24.77,9.568025837706903,1016.8,84.06533575317604,21.517965280581347,2.4909164311667342,1.1828825191764232,1.3080339119903108,0.24222850222042794,34.2,17.3,40.0,0.20185708518368994,0.0,1.0,326.5,429.2,228.0,0.0
Beja,2019,0.16677089847821555,1.92,33579,335.79,9.360016677089847,1059.6,90.08927766254848,18.937431132553083,3.13439947586289,1.4110009231960452,1.7233985526668454,0.3424759522320498,36.0,24.2,52.28426395939086,0.586676196432294,2.538071065989848,0.7,159.4,148.7,172.4,70.4
Castro Verde,2019,0.1439055979277594,1.59,6949,69.49,9.368254425097136,1831.9,60.52203890667324,19.182616203770326,2.4089797093106924,1.1051949920851922,1.3052237732047778,0.20146783709886315,35.0,18.0,42.85714285714285,0.10073391854943158,0.0,0.8,92.1,93.1,91.2,57.1
Cuba,2019,0.2176278563656148,1.16,4595,45.95,9.423286180631122,909.3,83.99796541200406,20.87051142546246,3.5321001088139283,1.4015233949945594,2.1284004352557124,0.13057671381936886,34.7,20.9,25.0,0.17410228509249182,0.0,0.8,79.0,64.8,94.0,50.0
Ferreira do Alentejo,2019,0.30592734225621415,1.23,7845,78.45,10.082855321861057,965.3,90.17421602787456,18.54684512428298,2.9649458253664753,1.2479286169534736,1.7170172084130018,0.19120458891013384,40.8,20.3,42.85714285714285,0.08922880815806246,0.0,0.7,48.9,35.4,65.0,66.7
Mértola,2019,0.08140670791273201,1.16,6142,61.42,13.611201563008793,831.6,100.93017637110414,15.206773038098339,3.2725496580918265,1.3855421686746987,1.887007489417128,0.2116574405731032,64.4,16.3,66.66666666666667,0.09768804949527841,0.0,1.3,141.9,141.5,142.2,38.5
Moura,2019,0.13850415512465372,1.75,13718,137.18,9.07566700685231,904.2,92.72727272727272,18.450211401078874,6.8610584633328475,3.1221752442046946,3.738154249890654,0.24784954074938037,36.7,23.8,62.96296296296296,0.19682169412450792,0.0,0.8,108.6,95.8,120.9,70.6
Odemira,2019,0.2629768984909172,1.82,24717,247.17,12.056479346198973,924.1,96.52489073659524,18.258688352146297,3.363676821620747,1.6260063923615324,1.7376704292592144,0.1294655500262977,45.1,19.1,57.142857142857146,0.11328235627301049,3.571428571428572,0.4,121.3,107.3,138.9,112.5
Ourique,2019,0.17364879531148253,1.66,4607,46.07,12.828304753635772,839.1,99.72628823039392,18.602127197742565,2.932494030822661,1.1135228999348816,1.8189711308877794,0.3907097894508357,50.4,16.0,33.333333333333336,0.13023659648361188,0.0,1.0,93.0,82.8,103.6,33.3
Serpa,2019,0.17477628635346756,1.31,14304,143.04,10.752237136465324,853.4,91.8571911251267,18.5332774049217,4.472175615212529,2.020413870246085,2.451761744966443,0.16079418344519017,40.9,17.2,52.63157894736842,0.13282997762863535,0.0,0.8,111.4,126.2,94.4,73.9
Vidigueira,2019,0.16333938294010888,1.64,5510,55.1,8.96551724137931,936.6,80.50628056381244,19.56442831215971,4.52994555353902,2.132486388384755,2.397459165154265,0.3448275862068965,36.7,22.5,44.44444444444444,0.16333938294010888,0.0,0.8,85.2,102.5,71.6,10.5
Amares,2019,0.36957361134094546,1.24,18129,181.29,8.356776435545259,881.7,84.83128012854847,22.11925643995808,2.8429587953003477,1.0353577141596337,1.8081526835457005,0.501958188537702,27.6,18.3,59.61538461538461,0.2868332505929726,3.8461538461538463,0.6,73.1,74.2,71.8,46.2
Barcelos,2019,0.21258832743766518,1.19,116187,1161.87,7.55936550560734,911.9,86.16782360146999,22.38116140359937,1.9057209498480898,0.9137855353869195,0.9919354144611704,0.33050169123912315,25.8,18.4,56.96969696969697,0.2840248909086215,1.5151515151515151,0.5,97.8,94.6,101.2,60.4
Braga,2019,0.2102047854433186,1.35,182679,1826.79,7.1781649779120755,1076.6,84.14348843254484,23.09077671763038,3.4750026001894034,1.4544638409450457,2.0205387592443578,0.3585524335035773,24.4,20.7,58.47176079734219,0.8238494846150899,1.8604651162790695,0.5,160.0,161.2,158.8,58.6
Cabeceiras de Basto,2019,0.185564371640645,0.84,15628,156.28,7.947274123368313,771.9,94.67493043258284,21.160737138469415,4.619912976708472,1.609291016124904,3.010621960583568,0.2943434860506783,28.6,18.8,46.15384615384615,0.2495520859994881,0.0,0.7,100.0,97.6,102.7,41.3
Celorico de Basto,2019,0.08403361344537814,0.95,19040,190.4,8.28781512605042,764.0,92.49211356466876,20.69327731092437,3.7200630252100835,1.4380252100840336,2.2815126050420167,0.26260504201680673,30.2,16.8,76.66666666666667,0.15756302521008403,0.0,0.8,91.4,94.6,88.3,42.0
Esposende,2019,0.18433449395792492,1.23,34177,341.77,7.3909354244082275,922.5,86.15243529651518,22.54732714983761,1.9021564209848731,0.8137051233285544,1.0884512976563185,0.43303976358369667,25.6,20.5,56.16438356164384,0.4271878748866197,1.36986301369863,0.5,92.1,92.1,92.1,33.8
Fafe,2019,0.24760715771951725,1.11,48060,480.6,8.066999583853516,827.8,91.014860039166,21.880982105701207,4.008739076154806,1.7326258843112776,2.276113191843529,0.31627132750728254,29.4,17.8,62.19512195121951,0.3412401165210154,0.6097560975609756,0.7,108.7,100.6,117.2,55.3
Guimarães,2019,0.1904024056359112,1.33,152309,1523.09,7.771700950042348,945.4,87.72087451332735,22.16087033596176,3.6710896926642547,1.536613069483747,2.1344766231805083,0.18252368540270109,26.2,18.6,58.45410628019324,0.4077237720686237,0.966183574879227,0.6,108.9,106.5,111.4,114.7
Póvoa de Lanhoso,2019,0.1721010279547886,1.03,21499,214.99,8.107353830410716,840.0,94.40914866581956,21.921949858132937,3.6508674822084743,1.5372808037583143,2.1135866784501602,0.2744313689008791,27.5,17.9,47.5,0.1860551653565282,2.5,0.6,101.8,111.6,93.4,74.6
Terras de Bouro,2019,0.2672535764816853,0.87,6361,63.61,11.491903788712467,870.0,68.93027698185291,19.69816066656186,3.8971859770476343,1.583084420688571,2.3156736362207204,0.2672535764816853,42.7,16.3,80.0,0.15720798616569723,0.0,0.9,47.9,42.9,54.0,41.2
Vieira do Minho,2019,0.1942239486573214,0.96,11842,118.42,10.167201486235433,805.5,94.4981862152358,20.097956426279346,5.030400270224624,2.072285086978551,2.9581151832460733,0.422225975342003,36.4,15.5,66.66666666666667,0.12666779260260091,0.0,1.0,83.0,81.9,84.0,40.0
Vila Nova de Famalicão,2019,0.18910051945684864,1.34,131676,1316.76,7.762994015614083,1036.8,76.04795583922719,22.44752270725113,2.6139919195601324,1.0538746620492725,1.5601172575108602,0.29845985601020686,26.2,18.8,59.871244635193136,0.3538989641240621,0.2145922746781116,0.6,112.0,118.7,104.9,79.6
Vila Verde,2019,0.24301336573511542,1.29,46911,469.11,7.821193323527531,850.6,89.40768111073788,21.587687322802754,2.4410053079235143,0.9456204301762913,1.4953848777472234,0.36665174479333207,28.3,19.8,68.6046511627907,0.18332587239666603,2.3255813953488373,0.6,107.3,103.2,111.9,47.1
Vizela,2019,0.15483115035360087,1.24,23897,238.97,6.557308448759258,843.0,85.38932633420822,23.032179771519438,3.229694103862409,1.327363267355735,1.9027492990751977,0.30129304933673684,21.3,18.4,64.0625,0.2678160438548772,0.0,0.5,105.4,97.9,113.0,55.6
Alfândega da Fé,2019,0.24175824175824176,1.2,4550,45.5,14.659340659340659,815.9,102.00420635902512,16.923076923076923,4.740659340659341,2.3076923076923075,2.432967032967033,0.26373626373626374,56.3,14.4,33.333333333333336,0.1978021978021978,0.0,1.2,94.9,65.0,125.9,41.7
Bragança,2019,0.2261433629898533,1.33,33607,336.07,10.988782098967476,980.6,91.76286441009589,20.088076888743416,2.6193947689469455,1.1670187758502693,1.4523759930966764,0.24994792751510103,39.4,18.0,61.452513966480446,0.5326271312524177,1.675977653631285,0.7,192.5,202.8,181.8,54.8
Carrazeda de Ansiães,2019,0.15884221673138016,1.34,5666,56.66,14.189904694669961,843.3,91.55888359428182,15.478291563713379,3.7451464878220966,1.6943169784680552,2.050829509354042,0.15884221673138016,63.2,18.1,50.0,0.10589481115425345,0.0,1.1,86.8,86.6,87.0,111.1
Freixo de Espada à Cinta,2019,0.272892662219527,1.18,3298,32.98,12.674348089751364,857.5,105.79554920861598,19.16312916919345,5.785324439053973,2.495451788963008,3.2898726500909645,0.1516070345664039,51.9,17.6,50.0,0.12128562765312312,0.0,1.3,12.0,7.5,17.9,140.0
Macedo de Cavaleiros,2019,0.268669054836043,0.93,14516,145.16,13.302562689446129,856.9,92.09876543209876,17.99393772389088,3.660099200881785,1.613392119041058,2.0473959768531276,0.22733535409203637,53.4,15.3,41.66666666666666,0.2480022044640397,0.0,1.0,114.2,106.8,121.2,66.7
Miranda do Douro,2019,0.1171303074670571,0.58,6830,68.3,14.407027818448023,873.3,83.44683080146673,17.613469985358712,2.464128843338214,1.1288433382137628,1.335285505124451,0.1171303074670571,56.9,14.6,69.23076923076923,0.1903367496339678,0.0,1.0,91.3,78.0,107.5,62.5
Mirandela,2019,0.2896019122919923,1.26,21754,217.54,12.379332536545004,927.8,90.95296775518588,19.06316079801416,4.2442769145904204,1.8750574606968833,2.36875976831847,0.17008366277466214,46.2,17.4,51.68539325842696,0.4091201618093224,2.247191011235955,0.9,146.6,158.3,135.9,148.6
Mogadouro,2019,0.2859866539561487,0.71,8392,83.92,15.09771210676835,844.3,88.49854553591408,15.479027645376549,3.611773117254528,1.469256434699714,2.142516682554814,0.2502383222116301,62.7,15.4,41.1764705882353,0.20257387988560532,0.0,1.1,144.7,118.1,178.3,66.7
Torre de Moncorvo,2019,0.1299545159194282,1.13,7695,76.95,15.16569200779727,852.5,92.10318801396868,16.803118908382068,4.337881741390514,1.8947368421052633,2.441845354126056,0.11695906432748537,64.2,13.6,58.333333333333336,0.15594541910331383,0.0,1.2,90.3,89.6,90.9,111.1
Vila Flor,2019,0.24818001323626737,1.2,6044,60.44,13.103904698874917,866.9,91.47833755925475,19.225678358702847,4.008934480476506,1.7918596955658503,2.21872931833223,0.19854401058901391,50.2,15.0,62.5,0.13236267372600927,0.0,0.9,84.4,69.3,101.3,41.7
Vimioso,2019,0.37285607755406414,1.28,4023,40.23,15.635098185433757,838.2,92.13047445255476,16.679095202585135,2.9778772060651257,1.6554809843400446,1.3223962217250809,0.14914243102162567,64.5,19.3,42.85714285714285,0.17399950285856328,0.0,1.3,70.15845353431499,66.01211177944961,77.28755037397859,66.7
Vinhais,2019,0.1549186676994578,0.87,7746,77.46,18.52569067906016,782.2,91.653388895698,14.265427317325072,3.5308546346501424,1.8280402788536019,1.7028143557965403,0.16782855667441263,82.2,13.6,60.0,0.12909888974954817,0.0,1.6,76.4,93.0,62.8,76.9
Belmonte,2019,0.3282275711159738,1.09,6398,63.98,11.425445451703657,821.6,79.61681745609367,18.662081900593936,3.6292591434823382,1.6989684276336356,1.9302907158487028,0.2344482650828384,43.4,16.2,25.0,0.12503907471084716,0.0,0.9,45.5,34.2,55.6,33.3
Castelo Branco,2019,0.2558331890664974,1.18,51987,519.87,10.964279531421317,957.1,87.05698061484237,19.64337238155693,2.8647546502010117,1.317252390020582,1.5475022601804298,0.31353992344239906,41.7,19.5,51.80722891566265,0.47896589531998385,1.606425702811245,0.7,131.5,124.4,140.0,60.1
Covilhã,2019,0.30564045568213394,1.13,46787,467.87,11.520294098788124,943.4,88.38955059553598,18.64834248829803,3.179301942847372,1.4856690961164427,1.6936328467309294,0.18594908842199756,45.7,17.8,52.96610169491525,0.5044136191677175,1.694915254237288,1.0,144.3,146.3,142.3,94.3
Fundão,2019,0.2566521985280242,0.98,26495,264.95,11.715418003396866,921.2,86.93210821847882,17.829779203623325,3.0556708812983584,1.4515946404982074,1.604076240800151,0.2528779014908473,47.5,17.4,55.73770491803279,0.2302321192677864,0.0,0.9,115.4,114.3,116.6,71.6
Idanha-a-Nova,2019,0.2486634340420241,1.57,8043,80.43,16.560984707198806,885.2,91.8189730200174,14.75817481039413,4.176302374735794,1.9569812259107298,2.219321148825065,0.17406440382941687,78.4,18.4,44.44444444444444,0.11189854531891084,0.0,1.4,135.3,139.0,131.3,71.4
Oleiros,2019,0.05996402158704777,0.54,5003,50.03,15.610633619828103,935.7,77.56183745583039,16.170297821307216,1.7889266440135918,0.9534279432340595,0.8354987007795323,0.11992804317409554,71.2,10.1,75.0,0.07995202878273036,0.0,1.6,104.1,130.8,86.2,66.7
Penamacor,2019,0.29442691903259727,0.57,4755,47.55,16.04626708727655,907.4,81.83528014254603,15.415352260778128,3.2723449001051526,1.7245005257623556,1.547844374342797,0.04206098843322818,72.4,11.5,40.0,0.10515247108307046,0.0,1.4,72.2,63.8,87.5,300.0
Proença-a-Nova,2019,0.21923814743765413,0.45,7298,72.98,12.852836393532474,904.4,85.22833662748361,16.908742121129077,2.24856124965744,0.902987119758838,1.3455741298986024,0.12332145793368045,53.7,13.8,35.714285714285715,0.19183337900794736,0.0,1.2,84.4,98.5,75.2,88.9
Sertã,2019,0.3018453728476367,0.93,14577,145.77,12.114975646566508,867.8,86.13295981036526,18.556630308019482,2.56088358372779,0.8609453248267819,1.6999382589010084,0.36358647183919873,48.1,17.7,55.55555555555556,0.12348219798312408,0.0,1.0,135.9,127.0,144.5,50.9
Vila de Rei,2019,0.09027986758952754,0.48,3323,33.23,11.254890159494433,820.5,89.88419618528611,19.44026482094493,1.576888353897081,0.6680710201625037,0.9118266626542282,0.3009328919650918,50.2,11.4,0.0,0.09027986758952754,0.0,1.3,94.2,74.1,116.0,50.0
Vila Velha de Ródão,2019,0.09541984732824427,0.73,3144,31.44,15.108142493638677,1227.9,65.9126254771667,18.129770992366414,2.083333333333333,0.9064885496183206,1.1768447837150127,0.031806615776081425,69.6,11.0,50.0,0.19083969465648853,16.666666666666668,1.5,70.15845353431499,66.01211177944961,77.28755037397859,500.0
Arganil,2019,0.190666424550572,1.05,11014,110.14,11.530779008534592,851.4,81.30296610169492,18.757944434356276,3.080624659524242,1.4209188305792628,1.6597058289449793,0.24514254585073542,45.5,16.3,45.45454545454545,0.09987288905029962,0.0,1.0,250.0,228.3,275.0,66.7
Cantanhede,2019,0.2627745565679358,1.21,35011,350.11,11.296449687241152,1051.3,79.40391075889396,19.48244837336837,2.1167633029619264,0.9417040358744394,1.1750592670874866,0.3570306475107823,43.8,18.5,49.57264957264957,0.33418068607009227,5.982905982905983,0.8,109.8,97.3,123.0,55.2
Coimbra,2019,0.1967711640803184,1.63,134166,1341.66,10.503406228105481,1134.4,80.06054329642316,19.455748848441484,2.8314177958648243,1.3645782090842686,1.4668395867805553,0.3607471341472504,41.7,20.5,54.92653414001729,3.4494581339534602,2.917026793431288,0.7,201.0,200.1,201.9,59.7
Condeixa-a-Nova,2019,0.09586646365533186,1.1,17733,177.33,7.872328427226075,966.6,83.18216175359032,22.83877516494671,1.8631929171600967,0.8052782947047877,1.057914622455309,0.25376416849940786,29.6,21.2,50.98039215686274,0.5751987819319911,3.92156862745098,0.6,53.2,50.9,55.6,82.2
Figueira da Foz,2019,0.2638432600813658,1.23,58747,587.47,10.604796840689737,1170.9,70.76980568011957,19.813777724819992,3.3470645309547717,1.4601596677277136,1.8869048632270584,0.35235841830221115,40.5,18.8,57.26027397260274,0.6213083221270873,1.095890410958904,0.7,128.9,121.2,137.1,53.6
Góis,2019,0.15768725361366623,0.85,3805,38.05,12.220762155059132,784.4,99.60574844207046,18.843626806833115,3.1747700394218135,1.7161629434954009,1.4586070959264128,0.21024967148488832,50.6,16.7,50.0,0.05256241787122208,0.0,1.3,70.15845353431499,66.01211177944961,77.28755037397859,112.5
Lousã,2019,0.19233010840424292,1.03,17158,171.58,8.54994754633407,964.4,85.12508451656525,21.727474064576292,2.757314372304464,1.2157594125189415,1.5415549597855227,0.23312740412635505,30.2,21.3,50.0,0.17484555309476627,0.0,0.7,98.5,93.0,104.4,87.5
Mira,2019,0.3549695740365112,1.45,11832,118.32,10.936443542934414,923.9,80.70892978868439,19.869844489519945,2.6664976335361734,1.2364773495605141,1.4300202839756593,0.4310344827586207,42.9,18.9,65.11627906976744,0.36342123056119,0.0,0.7,76.3,82.5,67.8,45.1
Miranda do Corvo,2019,0.141643059490085,0.97,12708,127.08,9.120239219389362,867.0,88.51059230436663,21.08120868744098,2.0947434686811457,0.9686811457349701,1.1260623229461757,0.19672647151400693,33.0,15.1,40.0,0.2360717658168083,3.333333333333333,0.8,68.3,65.6,71.5,84.0
Montemor-o-Velho,2019,0.16254360926102124,1.16,25224,252.24,10.363146209958769,933.0,83.74642046015602,20.76593720266413,2.589200761179829,1.1140183951791944,1.4751823660006345,0.3171582619727244,38.3,19.1,52.459016393442624,0.24183317475420235,6.557377049180328,0.7,71.6,71.8,71.4,56.3
Oliveira do Hospital,2019,0.2181478211187867,1.38,19253,192.53,11.239806783358437,863.0,83.52653408486654,19.041188386225524,2.946553783825897,1.393549057289773,1.5530047265361242,0.14023788500493428,42.1,17.5,42.42424242424242,0.17140185945047526,3.0303030303030303,0.8,129.0,113.2,146.9,100.0
Pampilhosa da Serra,2019,0.1238543472875898,0.42,4037,40.37,15.159772108000992,840.9,90.36359580637964,16.893732970027248,2.55139955412435,1.3698290810007432,1.1840475600693585,0.14862521674510776,71.5,13.5,100.0,0.049541738915035924,0.0,1.6,30.6,33.3,29.4,50.0
Penacova,2019,0.08032715057689499,0.82,13694,136.94,11.50138746896451,961.6,79.00701046768462,18.833065576164742,1.6817584343508107,0.7032276909595443,0.9792609902146926,0.2336789834964218,46.7,16.0,55.55555555555556,0.13144442821673727,5.555555555555555,0.8,115.5,131.8,101.0,71.9
Penela,2019,0.1852881230313137,0.82,5397,53.97,12.414304243098018,893.3,85.13925380977405,18.621456364647027,1.7231795441912174,0.7374467296646284,0.9875856957569019,0.500277932184547,50.5,17.8,50.0,0.22234574763757645,0.0,1.0,28.6,10.7,47.2,25.9
Soure,2019,0.09345794392523366,1.08,17120,171.2,12.575934579439252,940.1,77.01542155323668,18.44626168224299,2.329439252336449,1.0397196261682244,1.2897196261682244,0.24532710280373834,51.3,18.1,61.29032258064516,0.1810747663551402,3.225806451612903,1.0,97.0,104.1,89.5,71.4
Tábua,2019,0.22871217452498238,1.07,11368,113.68,10.054539057002112,859.1,86.4,20.25862068965517,2.765657987332864,1.4171358198451793,1.3485221674876848,0.18472906403940886,36.9,17.3,52.94117647058823,0.14954257565095003,0.0,0.9,92.2,74.0,108.5,109.5
Vila Nova de Poiares,2019,0.23058077532785703,0.93,6939,69.39,7.969448047269059,934.3,84.09225310467178,22.32310131142816,2.6055627612047845,0.9785271652975934,1.6255944660613921,0.2017581784118749,28.1,17.7,60.0,0.07205649228995532,0.0,0.6,105.9,103.5,108.1,128.6
Alandroal,2019,0.28044871794871795,0.87,4992,49.92,12.239583333333334,837.7,95.46884100174724,16.826923076923077,3.141025641025641,1.0997596153846154,2.0392628205128203,0.24038461538461536,51.8,17.6,37.5,0.16025641025641024,12.5,1.1,70.15845353431499,66.01211177944961,77.28755037397859,33.3
Arraiolos,2019,0.07217090069284064,1.0,6928,69.28,11.677251732101617,955.0,79.43802274222348,18.879907621247114,1.7219976905311778,0.786662817551963,0.9353348729792147,0.3031177829099307,45.9,17.8,44.44444444444444,0.12990762124711316,0.0,0.9,76.0,64.4,91.0,81.0
Borba,2019,0.16330166270783847,1.17,6736,67.36,12.247624703087887,931.7,87.35377168212989,18.735154394299286,3.0478028503562946,1.4815914489311164,1.564726840855107,0.29691211401425177,46.8,18.2,33.333333333333336,0.17814726840855108,0.0,1.0,70.15845353431499,66.01211177944961,77.28755037397859,65.0
Estremoz,2019,0.1571338780641106,1.41,12728,127.28,12.468573224387178,970.7,80.71274904124965,18.93463230672533,2.8001257071024512,1.248428661219359,1.5516970458830923,0.2985543683218102,50.1,18.6,51.42857142857143,0.2749842866121936,0.0,0.9,186.7,150.9,228.9,68.4
Évora,2019,0.21744106202792401,1.66,52428,524.28,9.729533836881055,1098.8,82.94241277847836,20.298313878080414,2.7386129549095903,1.2506675822079807,1.4879453727016099,0.3356984817273213,37.1,21.8,53.20910973084886,0.9212634470130465,1.6563146997929608,0.7,190.4,190.4,190.4,55.7
