Municipality,Year,Value
Alpiarça,2009,0.9
Azambuja,2009,0.7
Benavente,2009,0.5
Cartaxo,2009,0.6
Chamusca,2009,1.1
Coruche,2009,1.0
Golegã,2009,0.9
Rio Maior,2009,0.7
Salvaterra de Magos,2009,0.7
Santarém,2009,0.8
Alter do Chão,2009,1.5
Arronches,2009,1.5
Avis,2009,1.3
Campo Maior,2009,0.7
Castelo de Vide,2009,1.3
Crato,2009,1.4
Elvas,2009,0.8
Fronteira,2009,1.1
Gavião,2009,1.8
Marvão,2009,1.4
Monforte,2009,1.4
Nisa,2009,1.6
Ponte de Sor,2009,1.0
Portalegre,2009,1.0
Sousel,2009,1.2
Alandroal,2009,1.3
Arraiolos,2009,0.9
Borba,2009,1.1
Estremoz,2009,1.0
Évora,2009,0.7
Montemor-o-Novo,2009,1.0
Mora,2009,1.2
Mourão,2009,1.1
Portel,2009,1.0
Redondo,2009,0.8
Reguengos de Monsaraz,2009,1.0
Vendas Novas,2009,0.8
Viana do Alentejo,2009,1.0
Vila Viçosa,2009,0.8
Albufeira,2009,0.3
Alcoutim,2009,1.9
Aljezur,2009,0.9
Castro Marim,2009,0.8
Faro,2009,0.5
Lagoa,2009,0.4
Lagos,2009,0.5
Loulé,2009,0.4
Monchique,2009,1.1
Olhão,2009,0.5
Portimão,2009,0.4
São Brás de Alportel,2009,0.6
Silves,2009,0.6
Tavira,2009,0.7
Vila do Bispo,2009,0.6
Vila Real de Santo António,2009,0.5
Vila do Porto,2009,0.4
Lagoa [R.A.A.],2009,0.4
Nordeste,2009,0.7
Ponta Delgada,2009,0.4
Povoação,2009,0.6
Ribeira Grande,2009,0.4
Vila Franca do Campo,2009,0.5
Angra do Heroísmo,2009,0.6
Vila da Praia da Vitória,2009,0.6
Santa Cruz da Graciosa,2009,0.8
Calheta [R.A.A.],2009,0.7
Velas,2009,0.6
Lajes do Pico,2009,0.9
Madalena,2009,0.7
São Roque do Pico,2009,0.8
Horta,2009,0.6
Lajes das Flores,2009,0.7
Santa Cruz das Flores,2009,0.7
Corvo,2009,0.4
Calheta [R.A.M.],2009,1.1
Câmara de Lobos,2009,0.5
Funchal,2009,0.6
Machico,2009,0.6
Ponta do Sol,2009,0.8
Porto Moniz,2009,1.2
Ribeira Brava,2009,0.8
Santa Cruz,2009,0.4
Santana,2009,1.2
São Vicente,2009,1.1
Porto Santo,2009,0.4
Arcos de Valdevez,2010,1.3
Caminha,2010,0.8
Melgaço,2010,1.4
Monção,2010,1.1
Paredes de Coura,2010,1.0
Ponte da Barca,2010,1.0
Ponte de Lima,2010,0.7
Valença,2010,0.7
Viana do Castelo,2010,0.7
Vila Nova de Cerveira,2010,0.8
Amares,2010,0.6
Barcelos,2010,0.5
Braga,2010,0.5
Esposende,2010,0.5
Terras de Bouro,2010,1.1
Vila Verde,2010,0.7
Cabeceiras de Basto,2010,0.8
Fafe,2010,0.7
Guimarães,2010,0.5
Mondim de Basto,2010,1.0
Póvoa de Lanhoso,2010,0.7
Vieira do Minho,2010,1.1
Vila Nova de Famalicão,2010,0.5
Vizela,2010,0.4
Arouca,2010,0.8
Espinho,2010,0.8
Gondomar,2010,0.6
Maia,2010,0.5
Matosinhos,2010,0.6
Oliveira de Azeméis,2010,0.6
Paredes,2010,0.4
Porto,2010,0.9
Póvoa de Varzim,2010,0.5
Santa Maria da Feira,2010,0.5
Santo Tirso,2010,0.7
São João da Madeira,2010,0.6
Trofa,2010,0.3
Vale de Cambra,2010,0.7
Valongo,2010,0.5
Vila do Conde,2010,0.5
Vila Nova de Gaia,2010,0.5
Boticas,2010,1.5
Chaves,2010,0.9
Montalegre,2010,1.8
Ribeira de Pena,2010,1.2
Valpaços,2010,1.7
Vila Pouca de Aguiar,2010,1.2
Amarante,2010,0.6
Baião,2010,0.9
Castelo de Paiva,2010,0.7
Celorico de Basto,2010,0.9
Cinfães,2010,0.9
Felgueiras,2010,0.4
Lousada,2010,0.4
Marco de Canaveses,2010,0.5
Paços de Ferreira,2010,0.4
Penafiel,2010,0.5
Resende,2010,1.1
Alijó,2010,1.2
Armamar,2010,1.2
Carrazeda de Ansiães,2010,1.5
Freixo de Espada à Cinta,2010,1.5
Lamego,2010,0.7
Mesão Frio,2010,1.0
Moimenta da Beira,2010,0.9
Murça,2010,1.3
Penedono,2010,1.1
Peso da Régua,2010,0.9
Sabrosa,2010,1.1
Santa Marta de Penaguião,2010,1.0
São João da Pesqueira,2010,0.9
Sernancelhe,2010,1.2
Tabuaço,2010,1.0
Tarouca,2010,0.9
Torre de Moncorvo,2010,1.6
Vila Nova de Foz Côa,2010,1.3
Vila Real,2010,0.7
Alfândega da Fé,2010,1.4
Bragança,2010,0.9
Macedo de Cavaleiros,2010,1.1
Miranda do Douro,2010,1.3
Mirandela,2010,1.0
Mogadouro,2010,1.4
Vila Flor,2010,1.1
Vimioso,2010,1.7
Vinhais,2010,2.0
Alcobaça,2010,0.7
Alenquer,2010,0.6
Arruda dos Vinhos,2010,0.5
Bombarral,2010,0.7
Cadaval,2010,0.8
Caldas da Rainha,2010,0.6
Lourinhã,2010,0.6
Nazaré,2010,0.7
Óbidos,2010,0.7
Peniche,2010,0.7
Sobral de Monte Agraço,2010,0.5
Torres Vedras,2010,0.5
Águeda,2010,0.7
Albergaria-a-Velha,2010,0.6
Anadia,2010,0.8
Aveiro,2010,0.5
Estarreja,2010,0.7
Ílhavo,2010,0.5
Murtosa,2010,0.6
Oliveira do Bairro,2010,0.6
Ovar,2010,0.5
Sever do Vouga,2010,0.8
Vagos,2010,0.6
Arganil,2010,1.2
Cantanhede,2010,0.9
Coimbra,2010,0.7
Condeixa-a-Nova,2010,0.7
Figueira da Foz,2010,0.7
Góis,2010,1.5
Lousã,2010,0.7
Mealhada,2010,0.8
Mira,2010,0.8
Miranda do Corvo,2010,0.8
Montemor-o-Velho,2010,0.8
Mortágua,2010,1.0
Oliveira do Hospital,2010,0.9
Pampilhosa da Serra,2010,1.8
Penacova,2010,0.8
Penela,2010,1.2
Soure,2010,1.1
Tábua,2010,0.9
Vila Nova de Poiares,2010,0.6
Alvaiázere,2010,1.7
Ansião,2010,1.0
Batalha,2010,0.6
Castanheira de Pêra,2010,1.7
Figueiró dos Vinhos,2010,1.3
Leiria,2010,0.5
Marinha Grande,2010,0.7
Pedrógão Grande,2010,1.5
Pombal,2010,0.7
Porto de Mós,2010,0.7
Aguiar da Beira,2010,1.3
Carregal do Sal,2010,0.9
Castro Daire,2010,1.2
Mangualde,2010,0.8
Nelas,2010,0.9
Oliveira de Frades,2010,0.7
Penalva do Castelo,2010,1.1
Santa Comba Dão,2010,1.0
São Pedro do Sul,2010,0.9
Sátão,2010,1.0
Tondela,2010,1.0
Vila Nova de Paiva,2010,1.1
Viseu,2010,0.6
Vouzela,2010,1.0
Castelo Branco,2010,0.8
Idanha-a-Nova,2010,1.8
Oleiros,2010,1.8
Penamacor,2010,2.0
Proença-a-Nova,2010,1.4
Vila Velha de Ródão,2010,1.7
Abrantes,2010,1.0
Alcanena,2010,0.8
Constância,2010,0.6
Entroncamento,2010,0.6
Ferreira do Zêzere,2010,1.1
Mação,2010,1.6
Ourém,2010,0.6
Sardoal,2010,1.2
Sertã,2010,1.0
Tomar,2010,1.0
Torres Novas,2010,0.8
Vila de Rei,2010,1.4
Vila Nova da Barquinha,2010,0.8
Almeida,2010,1.3
Belmonte,2010,1.0
Celorico da Beira,2010,1.0
Covilhã,2010,1.0
Figueira de Castelo Rodrigo,2010,1.3
Fornos de Algodres,2010,1.2
Fundão,2010,1.0
Gouveia,2010,1.4
Guarda,2010,0.7
Manteigas,2010,1.4
Mêda,2010,1.5
Pinhel,2010,1.3
Sabugal,2010,1.4
Seia,2010,1.1
Trancoso,2010,1.2
Alcochete,2010,0.5
Almada,2010,0.6
Amadora,2010,0.6
Barreiro,2010,0.8
Cascais,2010,0.5
Lisboa,2010,0.9
Loures,2010,0.6
Mafra,2010,0.4
Moita,2010,0.7
Montijo,2010,0.5
Odivelas,2010,0.3
Oeiras,2010,0.5
Palmela,2010,0.5
Seixal,2010,0.5
Sesimbra,2010,0.5
Setúbal,2010,0.6
Sintra,2010,0.4
Vila Franca de Xira,2010,0.4
Alcácer do Sal,2010,1.0
Grândola,2010,1.1
Odemira,2010,0.8
Santiago do Cacém,2010,0.7
Sines,2010,0.4
Aljustrel,2010,1.1
Almodôvar,2010,1.1
Alvito,2010,1.1
Barrancos,2010,1.0
Beja,2010,0.8
Castro Verde,2010,0.9
Cuba,2010,1.0
Ferreira do Alentejo,2010,0.9
Mértola,2010,1.4
Moura,2010,1.0
Ourique,2010,1.2
Serpa,2010,1.0
Vidigueira,2010,1.0
Almeirim,2010,0.7
Alpiarça,2010,0.9
Azambuja,2010,0.7
Benavente,2010,0.5
Cartaxo,2010,0.6
Chamusca,2010,1.1
Coruche,2010,1.0
Golegã,2010,0.9
Rio Maior,2010,0.7
Salvaterra de Magos,2010,0.7
Santarém,2010,0.8
Alter do Chão,2010,1.5
Arronches,2010,1.4
Avis,2010,1.3
Campo Maior,2010,0.7
Castelo de Vide,2010,1.2
Crato,2010,1.4
Elvas,2010,0.8
Fronteira,2010,1.1
Gavião,2010,1.8
Marvão,2010,1.4
Monforte,2010,1.4
Nisa,2010,1.6
Ponte de Sor,2010,1.0
Portalegre,2010,1.0
Sousel,2010,1.2
Alandroal,2010,1.3
Arraiolos,2010,0.9
Borba,2010,1.1
Estremoz,2010,1.0
Évora,2010,0.7
Montemor-o-Novo,2010,1.0
Mora,2010,1.3
Mourão,2010,1.2
Portel,2010,1.0
Redondo,2010,0.9
Reguengos de Monsaraz,2010,1.0
Vendas Novas,2010,0.8
Viana do Alentejo,2010,1.0
Vila Viçosa,2010,0.9
Albufeira,2010,0.3
Alcoutim,2010,2.0
Aljezur,2010,0.9
Castro Marim,2010,0.8
Faro,2010,0.5
Lagoa,2010,0.5
Lagos,2010,0.5
Loulé,2010,0.4
Monchique,2010,1.2
Olhão,2010,0.5
Portimão,2010,0.5
São Brás de Alportel,2010,0.6
Silves,2010,0.6
Tavira,2010,0.7
Vila do Bispo,2010,0.6
Vila Real de Santo António,2010,0.6
Vila do Porto,2010,0.4
Lagoa [R.A.A.],2010,
Nordeste,2010,0.6
Ponta Delgada,2010,0.4
Povoação,2010,0.6
Ribeira Grande,2010,0.4
Vila Franca do Campo,2010,0.5
Angra do Heroísmo,2010,0.6
Vila da Praia da Vitória,2010,0.6
Santa Cruz da Graciosa,2010,0.8
Calheta [R.A.A.],2010,0.6
Velas,2010,0.6
Lajes do Pico,2010,0.8
Madalena,2010,0.7
São Roque do Pico,2010,0.8
Horta,2010,0.6
Lajes das Flores,2010,0.7
Santa Cruz das Flores,2010,0.7
Corvo,2010,0.4
Calheta [R.A.M.],2010,1.1
Câmara de Lobos,2010,0.5
Funchal,2010,0.7
Machico,2010,0.7
Ponta do Sol,2010,0.8
Porto Moniz,2010,1.2
Ribeira Brava,2010,0.8
Santa Cruz,2010,0.4
Santana,2010,1.2
São Vicente,2010,1.1
Porto Santo,2010,0.4
Arcos de Valdevez,2011,1.3
Caminha,2011,0.8
Melgaço,2011,1.4
Monção,2011,1.1
