Municipality,Year,Value
Albufeira,2009,63
Alcoutim,2009,6
Aljezur,2009,5
Castro Marim,2009,9
Faro,2009,507
Lagoa,2009,60
Lagos,2009,68
Loulé,2009,121
Monchique,2009,4
Olhão,2009,74
Portimão,2009,263
São Brás de Alportel,2009,26
Silves,2009,29
Tavira,2009,52
Vila do Bispo,2009,4
Vila Real de Santo António,2009,30
Vila do Porto,2009,8
Lagoa [R.A.A.],2009,22
Nordeste,2009,5
Ponta Delgada,2009,251
Povoação,2009,5
Ribeira Grande,2009,25
Vila Franca do Campo,2009,5
Angra do Heroísmo,2009,97
Vila da Praia da Vitória,2009,28
Santa Cruz da Graciosa,2009,3
Calheta [R.A.A.],2009,2
Velas,2009,8
Lajes do Pico,2009,5
Madalena,2009,4
São Roque do Pico,2009,5
Horta,2009,38
Lajes das Flores,2009,0
Santa Cruz das Flores,2009,1
Corvo,2009,1
Calheta [R.A.M.],2009,6
Câmara de Lobos,2009,17
Funchal,2009,514
Machico,2009,22
Ponta do Sol,2009,3
Porto Moniz,2009,1
Ribeira Brava,2009,5
Santa Cruz,2009,78
Santana,2009,5
São Vicente,2009,4
Porto Santo,2009,2
Arcos de Valdevez,2010,34
Caminha,2010,58
Melgaço,2010,18
Monção,2010,52
Paredes de Coura,2010,10
Ponte da Barca,2010,23
Ponte de Lima,2010,69
Valença,2010,32
Viana do Castelo,2010,363
Vila Nova de Cerveira,2010,28
Amares,2010,21
Barcelos,2010,164
Braga,2010,947
Esposende,2010,76
Terras de Bouro,2010,3
Vila Verde,2010,39
Cabeceiras de Basto,2010,21
Fafe,2010,70
Guimarães,2010,374
Mondim de Basto,2010,7
Póvoa de Lanhoso,2010,24
Vieira do Minho,2010,12
Vila Nova de Famalicão,2010,235
Vizela,2010,37
Arouca,2010,21
Espinho,2010,154
Gondomar,2010,475
Maia,2010,724
Matosinhos,2010,1262
Oliveira de Azeméis,2010,106
Paredes,2010,89
Porto,2010,4226
Póvoa de Varzim,2010,255
Santa Maria da Feira,2010,259
Santo Tirso,2010,154
São João da Madeira,2010,62
Trofa,2010,65
Vale de Cambra,2010,36
Valongo,2010,221
Vila do Conde,2010,231
Vila Nova de Gaia,2010,1306
Boticas,2010,6
Chaves,2010,146
Montalegre,2010,8
Ribeira de Pena,2010,13
Valpaços,2010,65
Vila Pouca de Aguiar,2010,20
Amarante,2010,74
Baião,2010,18
Castelo de Paiva,2010,11
Celorico de Basto,2010,13
Cinfães,2010,15
Felgueiras,2010,45
Lousada,2010,30
Marco de Canaveses,2010,35
Paços de Ferreira,2010,53
Penafiel,2010,94
Resende,2010,10
Alijó,2010,7
Armamar,2010,3
Carrazeda de Ansiães,2010,6
Freixo de Espada à Cinta,2010,5
Lamego,2010,54
Mesão Frio,2010,8
Moimenta da Beira,2010,10
Murça,2010,1
Penedono,2010,2
Peso da Régua,2010,36
Sabrosa,2010,5
Santa Marta de Penaguião,2010,2
São João da Pesqueira,2010,7
Sernancelhe,2010,5
Tabuaço,2010,3
Tarouca,2010,7
Torre de Moncorvo,2010,7
Vila Nova de Foz Côa,2010,8
Vila Real,2010,232
Alfândega da Fé,2010,10
Bragança,2010,123
Macedo de Cavaleiros,2010,32
Miranda do Douro,2010,10
Mirandela,2010,69
Mogadouro,2010,14
Vila Flor,2010,4
Vimioso,2010,3
Vinhais,2010,5
Alcobaça,2010,56
Alenquer,2010,43
Arruda dos Vinhos,2010,18
Bombarral,2010,17
Cadaval,2010,5
Caldas da Rainha,2010,149
Lourinhã,2010,27
Nazaré,2010,17
Óbidos,2010,11
Peniche,2010,34
Sobral de Monte Agraço,2010,13
Torres Vedras,2010,137
Águeda,2010,88
Albergaria-a-Velha,2010,42
Anadia,2010,58
Aveiro,2010,358
Estarreja,2010,46
Ílhavo,2010,79
Murtosa,2010,13
Oliveira do Bairro,2010,43
Ovar,2010,125
Sever do Vouga,2010,15
Vagos,2010,33
Arganil,2010,10
Cantanhede,2010,73
Coimbra,2010,3601
Condeixa-a-Nova,2010,75
Figueira da Foz,2010,247
Góis,2010,1
Lousã,2010,15
Mealhada,2010,51
Mira,2010,21
Miranda do Corvo,2010,18
Montemor-o-Velho,2010,39
Mortágua,2010,17
Oliveira do Hospital,2010,24
Pampilhosa da Serra,2010,0
Penacova,2010,14
Penela,2010,8
Soure,2010,17
Tábua,2010,12
Vila Nova de Poiares,2010,6
Alvaiázere,2010,7
Ansião,2010,11
Batalha,2010,10
Castanheira de Pêra,2010,2
Figueiró dos Vinhos,2010,6
Leiria,2010,371
Marinha Grande,2010,33
Pedrógão Grande,2010,1
Pombal,2010,73
Porto de Mós,2010,19
Aguiar da Beira,2010,4
Carregal do Sal,2010,11
Castro Daire,2010,10
Mangualde,2010,26
Nelas,2010,25
Oliveira de Frades,2010,10
Penalva do Castelo,2010,4
Santa Comba Dão,2010,20
São Pedro do Sul,2010,28
Sátão,2010,14
Tondela,2010,45
Vila Nova de Paiva,2010,6
