Tipo_Crime,Municipio,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Outros Violencia Domestica,Vagos,8.0,14.0,14.0,3.0,14.0,15.0,16.0,13.0,21.0,12.0,9.0,11.0
Violencia Domestica Conjuge ou Analogo,Vale de Cambra,47.0,40.0,37.0,38.0,24.0,38.0,27.0,19.0,20.0,13.0,29.0,35.0
Violencia Domestica Menores,Vale de Cambra,,,,,,,,,,,,
Outros Violencia Domestica,Vale de Cambra,,4.0,,,7.0,4.0,3.0,,4.0,,,5.0
Violencia Domestica Conjuge ou Analogo,Aljustrel,16.0,17.0,13.0,8.0,19.0,18.0,19.0,11.0,20.0,26.0,21.0,13.0
Violencia Domestica Menores,Aljustrel,,,,,,,,,,,,
Outros Violencia Domestica,Aljustrel,,,5.0,,10.0,9.0,5.0,5.0,8.0,5.0,6.0,8.0
Violencia Domestica Conjuge ou Analogo,Almodóvar,,,9.0,3.0,3.0,6.0,8.0,6.0,3.0,,5.0,9.0
Violencia Domestica Menores,Almodóvar,,,,,,,,,,,,
Outros Violencia Domestica,Almodóvar,,,,,4.0,,,,,,,
Violencia Domestica Conjuge ou Analogo,Alvito,7.0,,,4.0,5.0,3.0,15.0,4.0,,6.0,8.0,4.0
Violencia Domestica Menores,Alvito,,,,,,,,,,,,
Outros Violencia Domestica,Alvito,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Barrancos,,,3.0,6.0,3.0,3.0,,,3.0,5.0,,3.0
Outros Violencia Domestica,Barrancos,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Beja,51.0,94.0,60.0,49.0,70.0,61.0,55.0,52.0,47.0,54.0,57.0,56.0
Violencia Domestica Menores,Beja,4.0,3.0,3.0,,,3.0,,,,,,
Outros Violencia Domestica,Beja,11.0,17.0,13.0,15.0,9.0,7.0,14.0,9.0,7.0,5.0,13.0,16.0
Violencia Domestica Conjuge ou Analogo,Castro Verde,,8.0,11.0,8.0,11.0,15.0,13.0,8.0,5.0,7.0,10.0,10.0
Violencia Domestica Menores,Castro Verde,,,,,,,,,,,,
Outros Violencia Domestica,Castro Verde,3.0,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Cuba,7.0,4.0,6.0,5.0,11.0,8.0,13.0,13.0,7.0,6.0,6.0,10.0
Violencia Domestica Menores,Cuba,,,,,,,,,4.0,,,
Outros Violencia Domestica,Cuba,,,,,3.0,4.0,,,,,,
Violencia Domestica Conjuge ou Analogo,Ferreira do Alentejo,12.0,8.0,16.0,27.0,28.0,16.0,16.0,16.0,27.0,26.0,43.0,24.0
Violencia Domestica Menores,Ferreira do Alentejo,,,,,,,,,,,,
Outros Violencia Domestica,Ferreira do Alentejo,,,,3.0,7.0,4.0,4.0,,,,,
Violencia Domestica Conjuge ou Analogo,Mértola,,,,5.0,10.0,7.0,5.0,7.0,,6.0,7.0,5.0
Violencia Domestica Menores,Mértola,,,,,,,,,,,,
Outros Violencia Domestica,Mértola,,,,,,,,,,,6.0,
Violencia Domestica Conjuge ou Analogo,Moura,17.0,27.0,37.0,23.0,25.0,33.0,29.0,32.0,32.0,36.0,23.0,19.0
Violencia Domestica Menores,Moura,,,,,,,,,,,,
Outros Violencia Domestica,Moura,,3.0,6.0,3.0,14.0,10.0,9.0,7.0,4.0,5.0,10.0,6.0
Violencia Domestica Conjuge ou Analogo,Odemira,30.0,27.0,26.0,35.0,30.0,39.0,23.0,25.0,47.0,36.0,51.0,65.0
Violencia Domestica Menores,Odemira,,,3.0,,,,,,,,,
Outros Violencia Domestica,Odemira,,3.0,,,6.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0
Violencia Domestica Conjuge ou Analogo,Ourique,5.0,4.0,9.0,,6.0,8.0,3.0,4.0,7.0,4.0,3.0,8.0
Violencia Domestica Menores,Ourique,,,,,,,,,,,,
Outros Violencia Domestica,Ourique,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Serpa,13.0,7.0,22.0,15.0,9.0,21.0,7.0,10.0,19.0,23.0,22.0,25.0
Violencia Domestica Menores,Serpa,,,,,,,,,,,,
Outros Violencia Domestica,Serpa,3.0,4.0,,,,3.0,,3.0,,,5.0,5.0
