Municipality,Year,Value
Marvão,2008,3658
Monforte,2008,3356
Nisa,2008,7710
Ponte de Sor,2008,17103
Portalegre,2008,25267
Sousel,2008,5268
Alandroal,2008,6028
Arraiolos,2008,7457
Borba,2008,7455
Estremoz,2008,14674
Évora,2008,56854
Montemor-o-Novo,2008,17792
Mora,2008,5192
Mourão,2008,2784
Portel,2008,6629
Redondo,2008,7112
Reguengos de Monsaraz,2008,10956
Vendas Novas,2008,11868
Viana do Alentejo,2008,5762
Vila Viçosa,2008,8475
Albufeira,2008,38895
Alcoutim,2008,3085
Aljezur,2008,5760
Castro Marim,2008,6725
Faro,2008,63409
Lagoa,2008,22551
Lagos,2008,29893
Loulé,2008,68354
Monchique,2008,6255
Olhão,2008,44441
Portimão,2008,53513
São Brás de Alportel,2008,10533
Silves,2008,36460
Tavira,2008,25990
Vila do Bispo,2008,5269
Vila Real de Santo António,2008,18955
Vila do Porto,2008,5592
Lagoa [R.A.A.],2008,14421
Nordeste,2008,5044
Ponta Delgada,2008,68444
Povoação,2008,6439
Ribeira Grande,2008,31385
Vila Franca do Campo,2008,11234
Angra do Heroísmo,2008,35648
Vila da Praia da Vitória,2008,20997
Santa Cruz da Graciosa,2008,4497
Calheta [R.A.A.],2008,3867
Velas,2008,5483
Lajes do Pico,2008,4769
Madalena,2008,6076
São Roque do Pico,2008,3447
Horta,2008,15056
Lajes das Flores,2008,1516
Santa Cruz das Flores,2008,2339
Corvo,2008,416
Calheta [R.A.M.],2008,11712
Câmara de Lobos,2008,35723
Funchal,2008,111140
Machico,2008,21988
Ponta do Sol,2008,8754
Porto Moniz,2008,2782
Ribeira Brava,2008,13341
Santa Cruz,2008,40501
Santana,2008,8007
São Vicente,2008,5876
Porto Santo,2008,5314
Arcos de Valdevez,2009,23185
Caminha,2009,16829
Melgaço,2009,9356
Monção,2009,19404
Paredes de Coura,2009,9267
Ponte da Barca,2009,12215
Ponte de Lima,2009,43799
Valença,2009,14166
Viana do Castelo,2009,89210
Vila Nova de Cerveira,2009,9259
Amares,2009,18947
Barcelos,2009,121116
Braga,2009,180414
Esposende,2009,34340
Terras de Bouro,2009,7426
Vila Verde,2009,48053
Cabeceiras de Basto,2009,16917
Fafe,2009,51095
Guimarães,2009,159010
Mondim de Basto,2009,7652
Póvoa de Lanhoso,2009,22041
Vieira do Minho,2009,13233
Vila Nova de Famalicão,2009,133796
Vizela,2009,23731
Arouca,2009,22630
Espinho,2009,32149
Gondomar,2009,168388
Maia,2009,134188
Matosinhos,2009,175223
Oliveira de Azeméis,2009,69150
Paredes,2009,86836
Porto,2009,241254
Póvoa de Varzim,2009,63674
Santa Maria da Feira,2009,139561
Santo Tirso,2009,72013
São João da Madeira,2009,21756
Trofa,2009,38997
Vale de Cambra,2009,23166
Valongo,2009,93362
Vila do Conde,2009,79239
Vila Nova de Gaia,2009,302084
Boticas,2009,5846
Chaves,2009,41785
Montalegre,2009,10831
Ribeira de Pena,2009,6680
Valpaços,2009,17277
Vila Pouca de Aguiar,2009,13431
Amarante,2009,56915
Baião,2009,20852
Castelo de Paiva,2009,16894
Celorico de Basto,2009,20229
Cinfães,2009,20737
Felgueiras,2009,58347
Lousada,2009,47347
Marco de Canaveses,2009,53610
Paços de Ferreira,2009,56196
Penafiel,2009,72519
Resende,2009,11537
Alijó,2009,12244
Armamar,2009,6473
Carrazeda de Ansiães,2009,6551
Freixo de Espada à Cinta,2009,3845
Lamego,2009,26999
Mesão Frio,2009,4519
Moimenta da Beira,2009,10332
Murça,2009,6046
Penedono,2009,3028
Peso da Régua,2009,17369
Sabrosa,2009,6458
Santa Marta de Penaguião,2009,7499
São João da Pesqueira,2009,8001
Sernancelhe,2009,5750
Tabuaço,2009,6428
Tarouca,2009,8130
Torre de Moncorvo,2009,8748
Vila Nova de Foz Côa,2009,7461
Vila Real,2009,51826
Alfândega da Fé,2009,5224
Bragança,2009,35431
Macedo de Cavaleiros,2009,16039
Miranda do Douro,2009,7592
Mirandela,2009,24158
Mogadouro,2009,9749
Vila Flor,2009,6831
Vimioso,2009,4774
Vinhais,2009,9311
Alcobaça,2009,56863
Alenquer,2009,42942
Arruda dos Vinhos,2009,13096
Bombarral,2009,13286
Cadaval,2009,14244
Caldas da Rainha,2009,51622
Lourinhã,2009,25586
Nazaré,2009,15181
Óbidos,2009,11680
Peniche,2009,27817
Sobral de Monte Agraço,2009,10053
Torres Vedras,2009,79010
Águeda,2009,47962
Albergaria-a-Velha,2009,25243
Anadia,2009,29496
Aveiro,2009,78084
Estarreja,2009,27177
Ílhavo,2009,38542
Murtosa,2009,10517
Oliveira do Bairro,2009,22871
Ovar,2009,55538
Sever do Vouga,2009,12507
Vagos,2009,22824
Arganil,2009,12340
Cantanhede,2009,36898
Coimbra,2009,144301
Condeixa-a-Nova,2009,16948
Figueira da Foz,2009,62395
Góis,2009,4354
Lousã,2009,17468
Mealhada,2009,20539
Mira,2009,12552
